"","OBJECTID","ID","Shape_Length","Shape_Area","Fate","Source","Recruit","Species","Site","Plot_ID","Year","Month","Date","Time","Survey_times","size_class","pa_ratio","Circle_Length","circ","pure_size","size_class_pa","size_class_circ","sa_change","change_rate","rate_ad"
"1",107,149,0.25946187,0.002127015,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",121.984033963089,0.163489629005332,0.63011042433839,"J","J","J",0.002550358,2.19903150659492,1.552257534067
"2",100,141,0.136799965,0.001215776,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",112.520698714237,0.123603769360174,0.903536556900246,"J","J","J",0.001283505,2.0557084528729,1.45108831967499
"3",105,132,0.189592095,0.002759328,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",68.7095173172599,0.186211541786696,0.982169334574293,"J","J","J",0.008978975,4.25404410059261,3.00285465924184
"4",104,129,0.104195334,0.000764297,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",136.328330478858,0.0980022416143777,0.940562670631467,"J","J","J",0.001267129,2.65790131323294,1.87616563287031
"5",102,128,0.195510378,0.002711421,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",72.1062417086834,0.184587976795772,0.944133905749861,"J","J","J",0.000858363,1.31657311793336,0.929345730305904
"6",103,127,0.140101035,0.000849051,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",165.0089747259,0.103293221154596,0.737276645776357,"J","J","J",0.001994989,3.34966921892796,2.3644723898315
"7",99,126,0.172263579,0.002002431,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",86.0272234099452,0.158629411130729,0.920852870070283,"J","J","J",0.000916179,1.45753336819096,1.02884708342892
"8",95,95,0.380533489,0.008592585,"S",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",44.2862641451903,0.328599463854376,0.86352311518731,"M","IA","CA",-0.00210338,0.755209869905273,0.533089319933134
"9",94,94,0.075937696,0.000444855,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",170.702129907498,0.0747677256551966,0.984593022880186,"J","J","J",0.00384545,9.64427734879905,6.80772518738756
"10",93,93,0.154675087,0.001377197,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",112.311518976588,0.131553669317825,0.850516213498718,"J","J","J",0.003749872,3.7228290506006,2.62787932983572
"11",92,92,0.56478385,0.016438419,"S",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",34.3575528765875,0.454501117125276,0.804734620377824,"L","CA","CA",-0.001479935,0.90997096496932,0.642332445860696
"12",91,91,0.445271987,0.014483319,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",30.7437809662274,0.426617808207756,0.958106102928402,"L","CA","CA",0.004916734,1.339475640908,0.945512217111529
"13",90,90,0.169912604,0.001963847,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",86.5202859489563,0.157093695710227,0.924555871736432,"J","J","J",0.002416151,2.23031529441958,1.57434020782558
"14",89,89,0.13858446,0.001284267,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",107.909383329168,0.127037691610763,0.916680640894099,"J","J","J",0.002944363,3.29264086050642,2.32421707800453
"15",88,88,0.311901231,0.005889343,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",52.9602760443737,0.272043501692435,0.87221041359864,"M","IA","CA",0.000250191,1.04248198822857,0.735869638749578
"16",85,85,0.192376913,0.002842749,"S",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",67.6728451931563,0.189005390128427,0.982474389369306,"M","IA","CA",-0.000149017,0.947579965730355,0.668879975809662
"17",84,84,0.095000811,0.000621671,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",152.815252762313,0.088386357466519,0.930374767711394,"J","J","J",0.002277137,4.66292942730158,3.29147959574229
"18",83,83,0.074754312,0.000361121,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",207.006272135932,0.0673645331211313,0.901145784354638,"J","J","J",0.000808554,3.2390113009213,2.28636091829739
"19",82,82,0.157993048,0.001566288,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",100.871007120019,0.140294531243464,0.887979142243426,"J","J","J",0.005138931,4.2809617388373,3.02185534506163
"20",81,81,0.643701184,0.025202569,"S",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",25.5410940051389,0.562765335186843,0.874264875030652,"L","CA","CA",-0.002550797,0.89878821480461,0.634438739862078
"21",80,80,0.343832018,0.00564949,"S",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",60.8607180471158,0.266446214313726,0.774931362889322,"M","IA","IA",-0.00190471,0.662852753080367,0.467896060997906
"22",79,79,0.369974723,0.007391645,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",50.0530968410956,0.304772292900413,0.823765176250737,"M","IA","CA",0.000861056,1.11649044292576,0.788110900888774
"23",76,76,0.067626333,0.000261404,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",258.704277669814,0.057314043166365,0.847510734706922,"J","J","J",0.000452405,2.73067359336506,1.92753430119887
"24",75,75,0.359959253,0.005552328,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",64.8303293681497,0.264145057535597,0.73381932908833,"M","IA","IA",0.002835558,1.51069713460732,1.06637444795811
"25",74,74,0.599511076,0.020002642,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",29.9715945523596,0.501358766392238,0.836279405774044,"L","CA","CA",0.004017066,1.20082677078358,0.847642426435468
"26",73,73,0.55206688,0.015869773,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",34.7873205243705,0.446570766042461,0.808907004242785,"L","CA","CA",0.006364821,1.40106566111563,0.988987525493387
"27",69,69,0.156776666,0.001511882,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",103.696363869667,0.137836386840263,0.879189425040221,"J","J","J",0.003272863,3.16476087419521,2.23394885237309
"28",68,68,0.059720968,0.000245711,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",243.053701299494,0.0555670360017952,0.930444329063709,"J","J","J",0.000819903,4.33685915567476,3.06131234518218
"29",65,65,0.630383544,0.015774787,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",39.961461539861,0.445232321158937,0.706287981970128,"L","CA","IA",0.004842433,1.3069729562751,0.922569145605952
"30",64,64,0.134700963,0.00108285,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",124.394849702175,0.116651165531077,0.866000976779041,"J","J","J",0.002692598,3.4865844761509,2.46111845375357
"31",63,63,0.139965397,0.001125413,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",124.368029336786,0.118921641647842,0.849650300694265,"J","J","J",0.00049074,1.436053253339,1.01368464941576
"32",62,62,0.190408915,0.002136308,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",89.1298984041627,0.163846385600722,0.860497448875867,"J","J","J",0.005223569,3.44513852871402,2.43186249085696
"33",60,60,0.097292913,0.000636084,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",152.956076555927,0.0894050741617278,0.918926892051508,"J","J","J",0.002535137,4.98553807358777,3.51920334606195
"34",55,55,0.153841463,0.001546608,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",99.4702361555094,0.139410363040675,0.906194990102733,"J","J","J",0.004690748,4.03292624892668,2.8467714698306
"35",54,54,0.286551478,0.004381603,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",65.3987771142205,0.234650478761472,0.818877223733852,"M","IA","CA",0.004802599,2.09608264372651,1.47958774851283
"36",50,50,0.136059365,0.001130007,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",120.405771822652,0.119164116909497,0.875824438174444,"J","J","J",0.002793529,3.47213424341619,2.45091828947025
"37",47,47,0.179171937,0.001363226,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",131.432306162001,0.130884694090373,0.73049773464453,"J","J","J",0.001556657,2.14189210006265,1.51192383533834
"38",45,45,0.457552485,0.012173519,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",37.5858849852701,0.39112268079842,0.854814898007647,"L","CA","CA",0.005144319,1.42258273881201,1.00417605092612
"39",44,44,0.174328918,0.001487536,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",117.193074991126,0.136722085553876,0.784276568239103,"J","J","J",0.004089855,3.74941581245765,2.64664645585246
"40",42,42,0.242717016,0.003692129,"S",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",65.7390399956231,0.215398842545691,0.887448461980477,"M","IA","CA",-0.00024266,0.934276402585067,0.659489225354165
"41",39,39,0.139689461,0.001241874,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"J",112.48279696652,0.124923372274113,0.894293466234459,"J","J","J",0.001144608,1.92167804463255,1.35647861974062
"42",38,38,0.303206778,0.004134044,"G",NA,"N","PA","OL","M1",2020,10,"10/14/2020",14:35:00,1,"A",73.3438681349303,0.227925270735976,0.751715618758284,"M","IA","IA",0.005433381,2.31430168619395,1.63362471966632
